Result,Delay (ms),HTTP requests
PLANNING,106.01076599999999,2
1,223.85505,74
2,2917.28359,340
3,2917.3529919999996,340
4,3699.9070509999997,405
5,3699.9745689999995,405
6,3699.995047,405
7,3700.0319269999995,405
8,3700.120224,405
9,3700.1333689999997,405
10,3700.1459529999997,405
11,3700.1610809999997,405
12,3700.49919,405
13,3700.514589,405
14,3700.528726,405
15,3700.534848,405
16,3700.712433,405
17,3700.739024,405
18,3700.7464379999997,405
19,3700.7521279999996,405
20,3701.0482179999995,405
21,3701.067044,405
22,5497.39725,463
23,5497.417718000001,463
24,5497.4258740000005,463
25,5497.431214,463
26,5497.887857000001,463
27,5497.902455,463
28,5497.911261,463
29,5497.918936,463
30,5498.144112,463
31,5498.153309,463
32,5498.160092,463
33,5498.167195,463
34,5498.765937,463
35,5498.777118,463
36,5498.784652,463
37,5498.792106,463
38,5499.074981000001,463
39,5499.084659,463
40,5499.091342000001,463
41,5499.098546,463
42,5499.205758,463
43,5499.2144450000005,463
44,5499.223742,463
45,5499.233731,463
46,5499.356734,463
47,5499.377813,463
48,5499.384115000001,463
49,5499.390517000001,463
50,5499.663013,463
51,5499.669775,463
52,5499.675296,463
53,5499.681127000001,463
54,5499.779934,463
55,5499.786736,463
56,5499.792026,463
57,5499.796876,463
58,8300.823655,463
59,11399.829466000001,463
60,11399.849333,463
61,12349.178559,463
62,12354.297254000001,463
63,12368.613423,463
64,12424.329915,463
65,12424.349341000001,463
66,12431.072309000001,463
TOTAL,12432.017926,463
