Result,Delay (ms),HTTP requests
PLANNING,108.38586599999996,2
1,4151.457334999999,1005
2,4151.511617,1005
3,4151.5284790000005,1005
4,4991.928760000001,1186
5,4991.979396000001,1186
6,6706.862412,1414
7,6706.903087999999,1414
8,6706.931943,1414
9,9118.671567,1794
10,9118.751618,1794
11,9118.804026,1794
12,9118.881613,1794
13,9119.246691,1794
14,9119.273691999999,1794
15,9119.295172,1794
16,9119.30985,1794
17,9893.042008999999,1807
18,9893.059271,1807
19,9893.066294,1807
20,9893.073016999999,1807
21,9893.217068,1807
22,9893.224252,1807
23,9893.231034999999,1807
24,9893.236805999999,1807
25,9893.380797,1807
26,9893.389573999999,1807
27,9893.394844,1807
28,9893.400082999999,1807
29,9893.729443999999,1807
30,9893.740995999999,1807
31,9893.747217999999,1807
32,9893.753128999999,1807
33,9893.936354,1807
34,9893.944239,1807
35,9893.949618999999,1807
36,9893.954958999999,1807
37,9894.030832,1807
38,9894.037545,1807
39,9894.042835,1807
40,9894.048015,1807
41,9894.138374999999,1807
42,9894.144397,1807
43,9894.149877,1807
44,9894.155316999999,1807
45,9894.328574,1807
46,9894.342219,1807
47,9894.351497,1807
48,9894.356516,1807
49,9894.431858,1807
50,9894.438691,1807
51,9894.443951,1807
52,9894.450042999999,1807
53,9894.8944,1807
54,9894.919076999999,1807
55,9894.925188,1807
56,10875.792812,1888
57,10875.811647999999,1888
58,10875.819271999999,1888
59,10875.825915,1888
60,10875.867693,1888
61,10875.874656,1888
62,10875.881809999999,1888
63,10875.887891,1888
64,10876.034668,1888
65,10876.043614999999,1888
66,10876.049777,1888
67,10876.055928,1888
68,11349.140491999999,1894
69,11349.155761,1894
70,11349.162444,1894
71,11349.167422999999,1894
72,11349.445496999999,1894
73,11349.455265999999,1894
74,11349.460766,1894
75,11349.470585,1894
76,11744.916521,1900
77,11744.937931999999,1900
78,11744.943803,1900
79,11744.949213,1900
80,11744.978979,1900
81,11744.984179,1900
82,11744.989248,1900
83,11744.994607999999,1900
84,11745.063789,1900
85,11745.070612,1900
86,11745.075481,1900
87,11745.08009,1900
88,11745.126798,1900
89,11745.131906999999,1900
90,11745.136456,1900
91,11745.141115,1900
92,11745.189715999999,1900
93,11745.195337,1900
94,11745.199805,1900
95,11745.204274,1900
96,11745.24484,1900
97,11745.251583,1900
98,11745.256542,1900
99,11745.261531999999,1900
100,11745.305564999999,1900
101,11745.312528,1900
102,11745.317818,1900
103,11745.322656999999,1900
104,11745.361429999999,1900
105,11745.36658,1900
106,11745.370977999999,1900
107,11745.375476,1900
108,12331.836512,1926
109,12331.861549,1926
110,12654.081857,1926
111,12654.106662999999,1926
112,12654.113226,1926
113,12654.121662,1926
114,12654.707105,1926
115,12654.716563,1926
116,12654.722254,1926
117,13351.106601,1966
118,13351.149792999999,1966
119,13351.16425,1966
120,13351.175151,1966
121,13351.498379999999,1966
122,14585.121218,2022
123,14585.144312,2022
124,14585.150183,2022
125,15206.798944,2052
126,15206.818732,2052
127,15206.826747,2052
128,15206.835293,2052
129,15207.143613999999,2052
130,15718.836851999999,2056
131,15718.871688000001,2056
132,15718.88329,2056
133,15718.892607,2056
134,15719.066094,2056
135,15719.076493999999,2056
136,15719.088126,2056
137,15719.097293,2056
138,15719.524368,2056
139,15719.536201,2056
140,15719.544767000001,2056
141,15719.553763999998,2056
142,16419.181843000002,2068
143,16419.200188000003,2068
144,16419.207442000003,2068
145,16419.211890000002,2068
146,16419.424721000003,2068
147,16419.432716000003,2068
148,16419.438006,2068
149,16419.443647,2068
150,17235.750482000003,2071
151,17235.768476,2071
152,17235.776832,2071
153,17235.783064000003,2071
154,17236.070185,2071
155,17236.079162,2071
156,17236.086536000003,2071
157,17236.090944,2071
158,17677.653767,2103
159,17677.67118,2103
160,17677.700786,2103
161,17677.710284,2103
162,17677.913637,2103
163,17677.92066,2103
164,17677.94709,2103
165,17677.952240000002,2103
166,17847.354268000003,2108
167,17847.395736000002,2108
168,17847.413539,2108
169,17847.462281,2108
170,17847.517976000003,2108
171,17847.529197,2108
172,17847.538585000002,2108
173,17847.570135,2108
174,17847.777265,2108
175,17847.791502,2108
176,17847.800539,2108
177,17847.815267,2108
178,17847.996689,2108
179,17848.009212,2108
180,17848.017468000002,2108
181,17848.027527000002,2108
182,17848.149316000003,2108
183,17848.160738000002,2108
184,17848.169975,2108
185,17848.180866000002,2108
186,17848.546405,2108
187,17848.556684000003,2108
188,17848.561854,2108
189,17848.566793,2108
190,18105.565839000003,2119
191,18105.584073,2119
192,18105.591918000002,2119
193,18105.597418,2119
194,18105.828624,2119
195,18105.834876,2119
196,18105.840036,2119
197,18105.855896,2119
198,18106.106999,2119
199,18106.118731000002,2119
200,18106.125323,2119
201,18106.131445000003,2119
202,18106.702902,2119
203,18106.713823000002,2119
204,18106.721507000002,2119
205,18106.726958000003,2119
206,18477.276583000003,2119
207,18477.294957000002,2119
208,18477.305317000002,2119
209,18477.315807000003,2119
210,18477.382703000003,2119
211,18477.387882000003,2119
212,18477.394265000003,2119
213,18477.398963,2119
214,18477.525392,2119
215,18477.533307,2119
216,18477.538166000002,2119
217,18477.542534,2119
218,18477.648093,2119
219,18477.654034000003,2119
220,18477.658553,2119
221,18477.663863,2119
222,18739.822524000003,2140
223,18739.836751000003,2140
224,18739.842251000002,2140
225,18739.871937,2140
226,19063.944103,2153
227,19063.957268000002,2153
228,19063.962718000002,2153
229,19063.969411000002,2153
230,19064.017151,2153
231,19064.022922,2153
232,19064.028953,2153
233,19064.035906,2153
234,19064.295476000003,2153
235,19064.301818,2153
236,19064.307358000002,2153
237,19064.312177,2153
238,19064.392498,2153
239,19064.398289,2153
240,19064.401796000002,2153
241,19064.406184000003,2153
242,19273.530087000003,2165
243,19273.546848,2165
244,19273.552639,2165
245,19273.557378,2165
246,19273.591743,2165
247,19273.597203,2165
248,19273.601912000002,2165
249,19273.607963000002,2165
250,19444.638611000002,2165
251,19444.653870000002,2165
252,19444.659851,2165
253,19444.66472,2165
254,19447.001635,2165
255,19447.010852000003,2165
256,19447.015461000003,2165
257,19447.019519,2165
258,19728.672456,2202
259,19728.699447000003,2202
260,19728.707512,2202
261,19728.714044,2202
262,20019.913416000003,2203
263,20019.932252000002,2203
264,20019.940738,2203
265,20019.947971,2203
266,20020.075902,2203
267,20020.088075,2203
268,20020.098124,2203
269,20020.111339000003,2203
